client_order_id,trader_id,strategy_id,instrument_id,side,type,quantity,status,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,init_id,ts_init,ts_last,commissions,venue_order_id,emulation_trigger,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,account_id,slippage,position_id,liquidity_side,last_trade_id,avg_px
O-20190716-200000-001-000-23,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,23,FILLED,GTC,False,False,23,uuid-redacted,2019-07-16 20:00:00+00:00,2019-07-16 20:00:00+00:00,['1.00 USD'],SIM-1-15,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-e62cb68f537c68aa-3518,299.7100
O-20191014-200000-001-000-24,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,25,FILLED,GTC,False,False,25,uuid-redacted,2019-10-14 20:00:00+00:00,2019-10-14 20:00:00+00:00,['1.00 USD'],SIM-1-16,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-c2880157881b0a7b-3769,295.9500
O-20200114-210000-001-000-25,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,21,FILLED,GTC,False,False,21,uuid-redacted,2020-01-14 21:00:00+00:00,2020-01-14 21:00:00+00:00,['1.00 USD'],SIM-1-17,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-d0fa330d365a0799-4022,327.4500
O-20200415-200000-001-000-26,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,36,FILLED,GTC,False,False,36,uuid-redacted,2020-04-15 20:00:00+00:00,2020-04-15 20:00:00+00:00,['1.00 USD'],SIM-1-18,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-b69fcded233215e4-4274,277.7600
O-20200715-200000-001-000-27,TRADER-001,FoldRebalancer-000,SPY.SIM,SELL,MARKET,1704,FILLED,GTC,False,False,1704,uuid-redacted,2020-07-15 20:00:00+00:00,2020-07-15 20:00:00+00:00,['1.00 USD'],SIM-1-19,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-e058968c3a4a3440-4526,321.8500
O-20200715-200000-001-000-28,TRADER-001,FoldRebalancer-000,QQQ.SIM,BUY,MARKET,2121,FILLED,GTC,False,False,2121,uuid-redacted,2020-07-15 20:00:00+00:00,2020-07-15 20:00:00+00:00,['1.00 USD'],SIM-2-1,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-cd774c1b2f959d51-4509,260.9000
O-20201013-200000-001-000-29,TRADER-001,FoldRebalancer-000,QQQ.SIM,SELL,MARKET,1648,FILLED,GTC,False,False,1648,uuid-redacted,2020-10-13 20:00:00+00:00,2020-10-13 20:00:00+00:00,['1.00 USD'],SIM-2-2,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-a54cf353b6e190cd-4762,294.5200
O-20201013-200000-001-000-30,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,1397,FILLED,GTC,False,False,1397,uuid-redacted,2020-10-13 20:00:00+00:00,2020-10-13 20:00:00+00:00,['1.00 USD'],SIM-1-20,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-94ef47193fc22ee0-4779,350.1300
O-20210104-210000-001-000-31,TRADER-001,FoldRebalancer-000,QQQ.SIM,SELL,MARKET,172,FILLED,GTC,False,False,172,uuid-redacted,2021-01-04 21:00:00+00:00,2021-01-04 21:00:00+00:00,['1.00 USD'],SIM-2-3,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-560b9dc77382620a-4987,309.3100
O-20210104-210000-001-000-32,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,164,FILLED,GTC,False,False,164,uuid-redacted,2021-01-04 21:00:00+00:00,2021-01-04 21:00:00+00:00,['1.00 USD'],SIM-1-21,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-0c615d8f157de387-5003,368.7900
O-20210331-200000-001-000-33,TRADER-001,FoldRebalancer-000,SPY.SIM,SELL,MARKET,5258,FILLED,GTC,False,False,5258,uuid-redacted,2021-03-31 20:00:00+00:00,2021-03-31 20:00:00+00:00,['1.00 USD'],SIM-1-22,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-b397068352e43e34-5244,396.3300
O-20210331-200000-001-000-34,TRADER-001,FoldRebalancer-000,QQQ.SIM,SELL,MARKET,301,FILLED,GTC,False,False,301,uuid-redacted,2021-03-31 20:00:00+00:00,2021-03-31 20:00:00+00:00,['1.00 USD'],SIM-2-4,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-3b31b1dcfc5f2e9d-5227,319.1300
