client_order_id,trader_id,strategy_id,instrument_id,side,type,quantity,status,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,init_id,ts_init,ts_last,commissions,venue_order_id,emulation_trigger,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,account_id,slippage,position_id,liquidity_side,last_trade_id,avg_px
O-20170111-210000-001-000-14,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,167,FILLED,GTC,False,False,167,uuid-redacted,2017-01-11 21:00:00+00:00,2017-01-11 21:00:00+00:00,['1.00 USD'],SIM-1-5,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-283dc2a8fd1f9d17-1010,227.1000
O-20170111-210000-001-000-15,TRADER-001,FoldRebalancer-000,QQQ.SIM,BUY,MARKET,93,FILLED,GTC,False,False,93,uuid-redacted,2017-01-11 21:00:00+00:00,2017-01-11 21:00:00+00:00,['1.00 USD'],SIM-2-5,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-91fb56353cc28e0e-1007,122.9300
O-20170412-200000-001-000-16,TRADER-001,FoldRebalancer-000,IWM.SIM,SELL,MARKET,439,FILLED,GTC,False,False,439,uuid-redacted,2017-04-12 20:00:00+00:00,2017-04-12 20:00:00+00:00,['1.00 USD'],SIM-3-6,,,,,,,,,,SIM-001,,IWM.SIM-FoldRebalancer-000,TAKER,T-16b30af3d6b33bc1-1259,135.0400
O-20170412-200000-001-000-17,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,125,FILLED,GTC,False,False,125,uuid-redacted,2017-04-12 20:00:00+00:00,2017-04-12 20:00:00+00:00,['1.00 USD'],SIM-1-6,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-dc41b0208929832f-1259,234.0300
O-20170412-200000-001-000-18,TRADER-001,FoldRebalancer-000,QQQ.SIM,BUY,MARKET,258,FILLED,GTC,False,False,258,uuid-redacted,2017-04-12 20:00:00+00:00,2017-04-12 20:00:00+00:00,['1.00 USD'],SIM-2-6,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-07d91492e23b78ba-1256,130.9200
O-20170713-200000-001-000-19,TRADER-001,FoldRebalancer-000,QQQ.SIM,SELL,MARKET,239,FILLED,GTC,False,False,239,uuid-redacted,2017-07-13 20:00:00+00:00,2017-07-13 20:00:00+00:00,['1.00 USD'],SIM-2-7,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-02a85a2b6319f9d8-1506,141.0100
O-20170713-200000-001-000-20,TRADER-001,FoldRebalancer-000,IWM.SIM,SELL,MARKET,274,FILLED,GTC,False,False,274,uuid-redacted,2017-07-13 20:00:00+00:00,2017-07-13 20:00:00+00:00,['1.00 USD'],SIM-3-7,,,,,,,,,,SIM-001,,IWM.SIM-FoldRebalancer-000,TAKER,T-0cb2bea714931327-1512,141.4900
O-20170713-200000-001-000-21,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,316,FILLED,GTC,False,False,316,uuid-redacted,2017-07-13 20:00:00+00:00,2017-07-13 20:00:00+00:00,['1.00 USD'],SIM-1-7,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-bc91910ced760ad1-1508,244.4200
O-20171011-200000-001-000-22,TRADER-001,FoldRebalancer-000,QQQ.SIM,SELL,MARKET,265,FILLED,GTC,False,False,265,uuid-redacted,2017-10-11 20:00:00+00:00,2017-10-11 20:00:00+00:00,['1.00 USD'],SIM-2-8,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-6742320baedce069-1757,148.0400
O-20171011-200000-001-000-23,TRADER-001,FoldRebalancer-000,IWM.SIM,SELL,MARKET,88,FILLED,GTC,False,False,88,uuid-redacted,2017-10-11 20:00:00+00:00,2017-10-11 20:00:00+00:00,['1.00 USD'],SIM-3-8,,,,,,,,,,SIM-001,,IWM.SIM-FoldRebalancer-000,TAKER,T-38c6d1b3c55ab8a2-1763,149.7500
O-20171011-200000-001-000-24,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,221,FILLED,GTC,False,False,221,uuid-redacted,2017-10-11 20:00:00+00:00,2017-10-11 20:00:00+00:00,['1.00 USD'],SIM-1-8,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-d37c738446deffec-1758,255.0200
O-20180111-210000-001-000-25,TRADER-001,FoldRebalancer-000,IWM.SIM,SELL,MARKET,1054,FILLED,GTC,False,False,1054,uuid-redacted,2018-01-11 21:00:00+00:00,2018-01-11 21:00:00+00:00,['1.00 USD'],SIM-3-9,,,,,,,,,,SIM-001,,IWM.SIM-FoldRebalancer-000,TAKER,T-a744db32d0cc5dd9-2011,157.5000
O-20180111-210000-001-000-26,TRADER-001,FoldRebalancer-000,SPY.SIM,BUY,MARKET,24,FILLED,GTC,False,False,24,uuid-redacted,2018-01-11 21:00:00+00:00,2018-01-11 21:00:00+00:00,['1.00 USD'],SIM-1-9,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-06ad1085bd67c16b-2009,276.1200
O-20180111-210000-001-000-27,TRADER-001,FoldRebalancer-000,QQQ.SIM,BUY,MARKET,1005,FILLED,GTC,False,False,1005,uuid-redacted,2018-01-11 21:00:00+00:00,2018-01-11 21:00:00+00:00,['1.00 USD'],SIM-2-9,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-b4d59641f450ec86-2009,163.2900
O-20180413-200000-001-000-28,TRADER-001,FoldRebalancer-000,SPY.SIM,SELL,MARKET,796,FILLED,GTC,False,False,796,uuid-redacted,2018-04-13 20:00:00+00:00,2018-04-13 20:00:00+00:00,['1.00 USD'],SIM-1-10,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-62f1515b530d6e3f-2262,265.1500
O-20180413-200000-001-000-29,TRADER-001,FoldRebalancer-000,QQQ.SIM,SELL,MARKET,1507,FILLED,GTC,False,False,1507,uuid-redacted,2018-04-13 20:00:00+00:00,2018-04-13 20:00:00+00:00,['1.00 USD'],SIM-2-10,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-116118e686552d56-2260,161.3700
O-20180413-200000-001-000-30,TRADER-001,FoldRebalancer-000,IWM.SIM,BUY,MARKET,2984,FILLED,GTC,False,False,2984,uuid-redacted,2018-04-13 20:00:00+00:00,2018-04-13 20:00:00+00:00,['1.00 USD'],SIM-3-10,,,,,,,,,,SIM-001,,IWM.SIM-FoldRebalancer-000,TAKER,T-f583b47d5284b60d-2262,153.9500
O-20180713-200000-001-000-31,TRADER-001,FoldRebalancer-000,SPY.SIM,SELL,MARKET,109,FILLED,GTC,False,False,109,uuid-redacted,2018-07-13 20:00:00+00:00,2018-07-13 20:00:00+00:00,['1.00 USD'],SIM-1-11,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-28c1c78b4dd08b05-2514,279.5900
O-20180713-200000-001-000-32,TRADER-001,FoldRebalancer-000,QQQ.SIM,SELL,MARKET,132,FILLED,GTC,False,False,132,uuid-redacted,2018-07-13 20:00:00+00:00,2018-07-13 20:00:00+00:00,['1.00 USD'],SIM-2-11,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-fa650a147d737438-2510,179.6100
O-20180713-200000-001-000-33,TRADER-001,FoldRebalancer-000,IWM.SIM,BUY,MARKET,350,FILLED,GTC,False,False,350,uuid-redacted,2018-07-13 20:00:00+00:00,2018-07-13 20:00:00+00:00,['1.00 USD'],SIM-3-11,,,,,,,,,,SIM-001,,IWM.SIM-FoldRebalancer-000,TAKER,T-7f5669d28f3eb5c7-2513,167.4200
O-20181011-200000-001-000-34,TRADER-001,FoldRebalancer-000,SPY.SIM,SELL,MARKET,74,FILLED,GTC,False,False,74,uuid-redacted,2018-10-11 20:00:00+00:00,2018-10-11 20:00:00+00:00,['1.00 USD'],SIM-1-12,,,,,,,,,,SIM-001,,SPY.SIM-FoldRebalancer-000,TAKER,T-2c3e3941a5b83fdb-2765,272.1700
O-20181011-200000-001-000-35,TRADER-001,FoldRebalancer-000,QQQ.SIM,SELL,MARKET,47,FILLED,GTC,False,False,47,uuid-redacted,2018-10-11 20:00:00+00:00,2018-10-11 20:00:00+00:00,['1.00 USD'],SIM-2-12,,,,,,,,,,SIM-001,,QQQ.SIM-FoldRebalancer-000,TAKER,T-be6da6d9190f20a2-2763,169.6000
