client_order_id,trader_id,strategy_id,instrument_id,side,type,quantity,status,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,init_id,ts_init,ts_last,commissions,venue_order_id,emulation_trigger,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,account_id,slippage,position_id,liquidity_side,last_trade_id,avg_px
O-20160223-143000-001-000-1,TRADER-001,EpisodeReplay-000,SPY.SIM,BUY,MARKET,515,FILLED,GTC,False,False,515,uuid-redacted,2016-02-23 14:30:00+00:00,2016-02-23 14:30:00+00:00,['1.00 USD'],SIM-1-1,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-0d9e6205d36c4bec-027,193.9901
O-20160301-143000-001-000-2,TRADER-001,EpisodeReplay-000,SPY.SIM,SELL,MARKET,515,FILLED,GTC,False,False,515,uuid-redacted,2016-03-01 14:30:00+00:00,2016-03-01 14:30:00+00:00,['1.00 USD'],SIM-1-2,,,,,,,,,,SIM-001,,SPY.SIM-EpisodeReplay-000,TAKER,T-646cc28d9f9ed5ca-033,195.0499
O-20160308-143000-001-000-3,TRADER-001,EpisodeReplay-000,IWM.SIM,BUY,MARKET,923,FILLED,GTC,False,False,923,uuid-redacted,2016-03-08 14:30:00+00:00,2016-03-08 14:30:00+00:00,['1.00 USD'],SIM-3-1,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-5340530049da245a-037,108.2901
O-20160315-133000-001-000-4,TRADER-001,EpisodeReplay-000,IWM.SIM,SELL,MARKET,923,FILLED,GTC,False,False,923,uuid-redacted,2016-03-15 13:30:00+00:00,2016-03-15 13:30:00+00:00,['1.00 USD'],SIM-3-2,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-3cc5c20e7f88059d-043,107.2099
O-20160315-133000-001-000-5,TRADER-001,EpisodeReplay-000,IWM.SIM,BUY,MARKET,932,FILLED,GTC,False,False,932,uuid-redacted,2016-03-15 13:30:00+00:00,2016-03-15 13:30:00+00:00,['1.00 USD'],SIM-3-3,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-3cc5c20e7f88059d-044,107.2101
O-20160322-133000-001-000-6,TRADER-001,EpisodeReplay-000,IWM.SIM,SELL,MARKET,932,FILLED,GTC,False,False,932,uuid-redacted,2016-03-22 13:30:00+00:00,2016-03-22 13:30:00+00:00,['1.00 USD'],SIM-3-4,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-ea774d37219b364a-050,108.7999
O-20160322-133000-001-000-7,TRADER-001,EpisodeReplay-000,IWM.SIM,BUY,MARKET,919,FILLED,GTC,False,False,919,uuid-redacted,2016-03-22 13:30:00+00:00,2016-03-22 13:30:00+00:00,['1.00 USD'],SIM-3-5,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-ea774d37219b364a-051,108.8001
O-20160330-133000-001-000-8,TRADER-001,EpisodeReplay-000,IWM.SIM,SELL,MARKET,919,FILLED,GTC,False,False,919,uuid-redacted,2016-03-30 13:30:00+00:00,2016-03-30 13:30:00+00:00,['1.00 USD'],SIM-3-6,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-94b6a6bc5a6e64d4-057,110.8599
O-20160330-133000-001-000-9,TRADER-001,EpisodeReplay-000,IWM.SIM,BUY,MARKET,902,FILLED,GTC,False,False,902,uuid-redacted,2016-03-30 13:30:00+00:00,2016-03-30 13:30:00+00:00,['1.00 USD'],SIM-3-7,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-94b6a6bc5a6e64d4-058,110.8601
O-20160406-133000-001-000-10,TRADER-001,EpisodeReplay-000,IWM.SIM,SELL,MARKET,902,FILLED,GTC,False,False,902,uuid-redacted,2016-04-06 13:30:00+00:00,2016-04-06 13:30:00+00:00,['1.00 USD'],SIM-3-8,,,,,,,,,,SIM-001,,IWM.SIM-EpisodeReplay-000,TAKER,T-1ad2567bdf6a6d9f-064,108.9299
