position_id,type,events,adjustments,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,price_precision,size_precision,multiplier,is_inverse,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,realized_return,realized_pnl,venue_order_ids,trade_ids,buy_qty,sell_qty,commissions,is_snapshot
IWM.SIM-LimitProbe-000,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'LimitProbe-000', 'instrument_id': 'IWM.SIM', 'client_order_id': 'O-20210104-210000-001-000-3', 'venue_order_id': 'SIM-3-1', 'account_id': 'SIM-001', 'trade_id': 'T-4f7c2cab6fad05ad-005', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '213', 'last_px': '193.5000', 'currency': 'USD', 'liquidity_side': 'TAKER', 'event_id': 'uuid-redacted', 'ts_event': 1609794000000000000, 'ts_init': 1609794000000000000, 'reconciliation': False, 'info': None, 'position_id': 'IWM.SIM-LimitProbe-000', 'commission': '1.00 USD', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'LimitProbe-000', 'instrument_id': 'IWM.SIM', 'client_order_id': 'O-20210108-210000-001-000-13', 'venue_order_id': 'SIM-3-2', 'account_id': 'SIM-001', 'trade_id': 'T-e22d7bcb356118c7-022', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '213', 'last_px': '207.7200', 'currency': 'USD', 'liquidity_side': 'TAKER', 'event_id': 'uuid-redacted', 'ts_event': 1610139600000000000, 'ts_init': 1610139600000000000, 'reconciliation': False, 'info': None, 'position_id': 'IWM.SIM-LimitProbe-000', 'commission': '1.00 USD', 'causation_id': None}]",[],TRADER-001,LimitProbe-000,IWM.SIM,SIM-001,O-20210104-210000-001-000-3,O-20210108-210000-001-000-13,BUY,FLAT,0,213,4,0,1,False,1609794000000000000,2021-01-04 21:00:00+00:00,1610139600000000000,2021-01-08 21:00:00+00:00,345600000000000,193.5,207.72,0.07348837209302325,3026.86 USD,"['SIM-3-1', 'SIM-3-2']","['T-4f7c2cab6fad05ad-005', 'T-e22d7bcb356118c7-022']",213,213,['2.00 USD'],False
QQQ.SIM-LimitProbe-000,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'LimitProbe-000', 'instrument_id': 'QQQ.SIM', 'client_order_id': 'O-20210104-210000-001-000-2', 'venue_order_id': 'SIM-2-1', 'account_id': 'SIM-001', 'trade_id': 'T-560b9dc77382620a-005', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '88', 'last_px': '309.3100', 'currency': 'USD', 'liquidity_side': 'TAKER', 'event_id': 'uuid-redacted', 'ts_event': 1609794000000000000, 'ts_init': 1609794000000000000, 'reconciliation': False, 'info': None, 'position_id': 'QQQ.SIM-LimitProbe-000', 'commission': '1.00 USD', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'LimitProbe-000', 'instrument_id': 'QQQ.SIM', 'client_order_id': 'O-20210106-210000-001-000-5', 'venue_order_id': 'SIM-2-2', 'account_id': 'SIM-001', 'trade_id': 'T-0e79dc2b25e2cbdd-014', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '1', 'last_px': '307.5400', 'currency': 'USD', 'liquidity_side': 'TAKER', 'event_id': 'uuid-redacted', 'ts_event': 1609966800000000000, 'ts_init': 1609966800000000000, 'reconciliation': False, 'info': None, 'position_id': 'QQQ.SIM-LimitProbe-000', 'commission': '1.00 USD', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'LimitProbe-000', 'instrument_id': 'QQQ.SIM', 'client_order_id': 'O-20210106-210000-001-000-6', 'venue_order_id': 'SIM-2-3', 'account_id': 'SIM-001', 'trade_id': 'T-0e79dc2b25e2cbdd-015', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '1', 'last_px': '307.5400', 'currency': 'USD', 'liquidity_side': 'TAKER', 'event_id': 'uuid-redacted', 'ts_event': 1609966800000000000, 'ts_init': 1609966800000000000, 'reconciliation': False, 'info': None, 'position_id': 'QQQ.SIM-LimitProbe-000', 'commission': '1.00 USD', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'LimitProbe-000', 'instrument_id': 'QQQ.SIM', 'client_order_id': 'O-20210106-210000-001-000-7', 'venue_order_id': 'SIM-2-4', 'account_id': 'SIM-001', 'trade_id': 'T-0e79dc2b25e2cbdd-016', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '1', 'last_px': '307.5400', 'currency': 'USD', 'liquidity_side': 'TAKER', 'event_id': 'uuid-redacted', 'ts_event': 1609966800000000000, 'ts_init': 1609966800000000000, 'reconciliation': False, 'info': None, 'position_id': 'QQQ.SIM-LimitProbe-000', 'commission': '1.00 USD', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'LimitProbe-000', 'instrument_id': 'QQQ.SIM', 'client_order_id': 'O-20210106-210000-001-000-8', 'venue_order_id': 'SIM-2-5', 'account_id': 'SIM-001', 'trade_id': 'T-0e79dc2b25e2cbdd-017', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '1', 'last_px': '307.5400', 'currency': 'USD', 'liquidity_side': 'TAKER', 'event_id': 'uuid-redacted', 'ts_event': 1609966800000000000, 'ts_init': 1609966800000000000, 'reconciliation': False, 'info': None, 'position_id': 'QQQ.SIM-LimitProbe-000', 'commission': '1.00 USD', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'LimitProbe-000', 'instrument_id': 'QQQ.SIM', 'client_order_id': 'O-20210108-210000-001-000-12', 'venue_order_id': 'SIM-2-6', 'account_id': 'SIM-001', 'trade_id': 'T-d13a6072adf282d0-026', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '92', 'last_px': '319.0300', 'currency': 'USD', 'liquidity_side': 'TAKER', 'event_id': 'uuid-redacted', 'ts_event': 1610139600000000000, 'ts_init': 1610139600000000000, 'reconciliation': False, 'info': None, 'position_id': 'QQQ.SIM-LimitProbe-000', 'commission': '1.00 USD', 'causation_id': None}]",[],TRADER-001,LimitProbe-000,QQQ.SIM,SIM-001,O-20210104-210000-001-000-2,O-20210108-210000-001-000-12,BUY,FLAT,0,92,4,0,1,False,1609794000000000000,2021-01-04 21:00:00+00:00,1610139600000000000,2021-01-08 21:00:00+00:00,345600000000000,309.23304347826087,319.03,0.031681467192324266,895.32 USD,"['SIM-2-1', 'SIM-2-2', 'SIM-2-3', 'SIM-2-4', 'SIM-2-5', 'SIM-2-6']","['T-0e79dc2b25e2cbdd-014', 'T-0e79dc2b25e2cbdd-015', 'T-0e79dc2b25e2cbdd-016', 'T-0e79dc2b25e2cbdd-017', 'T-560b9dc77382620a-005', 'T-d13a6072adf282d0-026']",92,92,['6.00 USD'],False
SPY.SIM-LimitProbe-000,Position,"[{'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'LimitProbe-000', 'instrument_id': 'SPY.SIM', 'client_order_id': 'O-20210104-210000-001-000-1', 'venue_order_id': 'SIM-1-1', 'account_id': 'SIM-001', 'trade_id': 'T-0c615d8f157de387-005', 'order_side': 'BUY', 'order_type': 'MARKET', 'last_qty': '84', 'last_px': '368.7900', 'currency': 'USD', 'liquidity_side': 'TAKER', 'event_id': 'uuid-redacted', 'ts_event': 1609794000000000000, 'ts_init': 1609794000000000000, 'reconciliation': False, 'info': None, 'position_id': 'SPY.SIM-LimitProbe-000', 'commission': '1.00 USD', 'causation_id': None}, {'type': 'OrderFilled', 'trader_id': 'TRADER-001', 'strategy_id': 'LimitProbe-000', 'instrument_id': 'SPY.SIM', 'client_order_id': 'O-20210108-210000-001-000-11', 'venue_order_id': 'SIM-1-2', 'account_id': 'SIM-001', 'trade_id': 'T-9ce2c29678df4bf9-022', 'order_side': 'SELL', 'order_type': 'MARKET', 'last_qty': '84', 'last_px': '381.2600', 'currency': 'USD', 'liquidity_side': 'TAKER', 'event_id': 'uuid-redacted', 'ts_event': 1610139600000000000, 'ts_init': 1610139600000000000, 'reconciliation': False, 'info': None, 'position_id': 'SPY.SIM-LimitProbe-000', 'commission': '1.00 USD', 'causation_id': None}]",[],TRADER-001,LimitProbe-000,SPY.SIM,SIM-001,O-20210104-210000-001-000-1,O-20210108-210000-001-000-11,BUY,FLAT,0,84,4,0,1,False,1609794000000000000,2021-01-04 21:00:00+00:00,1610139600000000000,2021-01-08 21:00:00+00:00,345600000000000,368.79,381.26,0.03381328127118406,1045.48 USD,"['SIM-1-1', 'SIM-1-2']","['T-0c615d8f157de387-005', 'T-9ce2c29678df4bf9-022']",84,84,['2.00 USD'],False
