rebalance_close,SPY,QQQ,IWM
2016-01-12,0.29243591130167845,0.21964991029397193,0.4879141784043496
2016-04-13,0.3094904873719191,0.2172635303488839,0.473245982279197
2016-07-13,0.31643272670483963,0.22578833212379093,0.4577789411713694
2016-10-11,0.3508923289240554,0.24964938472468834,0.39945828635125624
2017-01-11,0.3749255134940781,0.2500473464254348,0.3750271400804871
2017-04-12,0.3991802874984401,0.2857960787084958,0.3150236337930641
2017-07-13,0.4512982549357387,0.26572673744140274,0.28297500762285854
2017-10-11,0.4872695857916453,0.2374311917248892,0.2752992224834655
2018-01-11,0.49175393535088896,0.34910079345095724,0.1591452711981538
2018-04-13,0.34257038915141325,0.19077069759948384,0.4666589132491029
2018-07-13,0.31440269246530606,0.18129791310909973,0.5042993944255942
2018-10-11,0.31121415295307125,0.17622088996783916,0.5125649570790896
2019-01-14,0.30366544411212115,0.17048875196733812,0.5258458039205407
2019-04-15,0.3353008065815423,0.17432035542746932,0.49037883799098836
2019-07-16,0.34869218212311803,0.18152333173004254,0.46978448614683943
2019-10-14,0.34054311396127923,0.19112396962447042,0.46833291641425034
2020-01-14,0.3670188138991756,0.2200235009873002,0.41295768511352415
2020-04-15,0.2823300884648286,0.26112951817550717,0.45654039335966423
2020-07-15,0.29814487447411636,0.28967137385085323,0.4121837516750304
2020-10-13,0.3065425994877126,0.27856045440529126,0.4148969461069961
2021-01-04,0.3110641021300088,0.2751279843514368,0.4138079135185544
