rebalance_close,SPY,QQQ,IWM
2016-01-12,0.8126547850770545,2.6055372958621934e-07,0.18734495436921597
2016-04-13,0.9767148455429097,1.2634769846239354e-07,0.023285028109391773
2016-07-13,0.999992794166655,1.116661420096123e-06,6.089171923761337e-06
2016-10-11,0.9999993725917895,5.000948198291684e-07,1.2731339072827287e-07
2017-01-11,0.9999996331240838,3.087439176772188e-07,5.813199840341682e-08
2017-04-12,0.9999954923080112,4.193899522564642e-06,3.137924662018549e-07
2017-07-13,0.9999997802614379,1.7612529612043407e-07,4.3613265874221305e-08
2017-10-11,0.999996070778582,3.228002460491277e-06,7.012189574945848e-07
2018-01-11,0.9999895355886631,7.0990226847443165e-06,3.3653886520319792e-06
2018-04-13,0.9649465197229757,7.697253488266473e-08,0.03505340330448954
2018-07-13,0.7664812651197636,4.399426813155263e-08,0.23351869088596847
2018-10-11,0.6931869379891581,2.9551926960335484e-08,0.30681303245891484
2019-01-14,0.7436830110201416,2.6807009482458194e-08,0.25631696217284905
2019-04-15,0.999983711975328,4.260669030630947e-07,1.5861957768975138e-05
2019-07-16,0.9999949298200363,4.568788851590137e-07,4.613301076366624e-06
2019-10-14,0.9999992155509128,9.108383115835104e-08,6.933652561078928e-07
2020-01-14,0.999999927053209,2.1152069882641533e-08,5.179472111505966e-08
2020-04-15,0.9999992409768014,5.737766117890622e-07,1.8524658682568772e-07
2020-07-15,0.6825267364444115,0.3174732518749319,1.1680656709631724e-08
2020-10-13,0.9274773593431689,0.07252259843383681,4.2222994392567304e-08
2021-01-04,0.9541846300148604,0.04581491109232139,4.5889281817823247e-07
