kind,time_utc,a,b,c,d,e
dividend,2018-06-18T04:00:00.0000000Z,QQQ,0.38,1767,18344.26,
dividend,2018-07-03T04:00:00.0000000Z,IWM,0.60,4531,21062.86,
decision,2018-07-13T20:00:00.0000000Z,2018-07-13,1636902.0400,1822,1635,4881
fill,2018-07-13T20:00:00.0000000Z,SPY,-109,279.59,1,51537.17
fill,2018-07-13T20:00:00.0000000Z,QQQ,-132,179.61,1,75244.69
fill,2018-07-13T20:00:00.0000000Z,IWM,350,167.42,1,16646.69
dividend,2018-09-21T04:00:00.0000000Z,SPY,1.33,1822,19069.95,
dividend,2018-09-24T04:00:00.0000000Z,QQQ,0.33,1635,19609.50,
dividend,2018-09-26T04:00:00.0000000Z,IWM,0.46,4881,21854.76,
decision,2018-10-11T20:00:00.0000000Z,2018-10-11,1544619.6700,1748,1588,5103
fill,2018-10-11T20:00:00.0000000Z,SPY,-74,272.17,1,41994.34
fill,2018-10-11T20:00:00.0000000Z,QQQ,-47,169.6,1,49964.54
fill,2018-10-11T20:00:00.0000000Z,IWM,222,153.57,1,15871.00
dividend,2018-12-17T05:00:00.0000000Z,IWM,0.47,5103,18269.41,
dividend,2018-12-21T05:00:00.0000000Z,SPY,1.44,1748,20786.53,
dividend,2018-12-24T05:00:00.0000000Z,QQQ,0.42,1588,21453.49,
decision,2019-01-14T21:00:00.0000000Z,2019-01-14,1450211.2000,1693,1536,5307
fill,2019-01-14T21:00:00.0000000Z,SPY,-55,257.4,1,35609.49
fill,2019-01-14T21:00:00.0000000Z,QQQ,-52,159.27,1,43890.53
fill,2019-01-14T21:00:00.0000000Z,IWM,204,142.25,1,14870.53
dividend,2019-03-15T04:00:00.0000000Z,SPY,1.23,1693,16952.92,
dividend,2019-03-18T04:00:00.0000000Z,QQQ,0.32,1536,17444.44,
dividend,2019-03-20T04:00:00.0000000Z,IWM,0.41,5307,19620.31,
decision,2019-04-15T20:00:00.0000000Z,2019-04-15,1630121.6700,1866,1513,5035
fill,2019-04-15T20:00:00.0000000Z,QQQ,-23,185.86,1,23894.09
fill,2019-04-15T20:00:00.0000000Z,IWM,-272,157.17,1,66643.33
fill,2019-04-15T20:00:00.0000000Z,SPY,173,289.97,1,16477.52
dividend,2019-06-17T04:00:00.0000000Z,IWM,0.53,5035,19146.07,
dividend,2019-06-21T04:00:00.0000000Z,SPY,1.43,1866,21814.45,
dividend,2019-06-24T04:00:00.0000000Z,QQQ,0.42,1513,22449.91,
decision,2019-07-16T20:00:00.0000000Z,2019-07-16,1655578.1200,1906,1540,4959
fill,2019-07-16T20:00:00.0000000Z,IWM,-76,155.24,1,34247.15
fill,2019-07-16T20:00:00.0000000Z,SPY,40,299.71,1,22257.75
fill,2019-07-16T20:00:00.0000000Z,QQQ,27,193.15,1,17041.70
dividend,2019-09-20T04:00:00.0000000Z,SPY,1.38,1906,19671.98,
dividend,2019-09-23T04:00:00.0000000Z,QQQ,0.38,1540,20257.18,
dividend,2019-09-24T04:00:00.0000000Z,IWM,0.54,4959,22935.04,
decision,2019-10-14T20:00:00.0000000Z,2019-10-14,1623507.8700,1849,1607,5029
fill,2019-10-14T20:00:00.0000000Z,SPY,-57,295.95,1,39803.19
fill,2019-10-14T20:00:00.0000000Z,QQQ,67,191.09,1,26999.16
fill,2019-10-14T20:00:00.0000000Z,IWM,70,149.67,1,16521.26
dividend,2019-12-16T05:00:00.0000000Z,IWM,0.60,5029,19538.66,
dividend,2019-12-20T05:00:00.0000000Z,SPY,1.57,1849,22441.59,
dividend,2019-12-23T05:00:00.0000000Z,QQQ,0.46,1607,23180.81,
decision,2020-01-14T21:00:00.0000000Z,2020-01-14,1819984.9500,2019,1801,4466
