kind,time_utc,a,b,c,d,e
fill,2020-10-13T20:00:00.0000000Z,QQQ,-108,294.52,1,49265.40
fill,2020-10-13T20:00:00.0000000Z,SPY,71,350.13,1,24405.17
fill,2020-10-13T20:00:00.0000000Z,IWM,31,162.7,1,19360.47
decision,2021-01-04T21:00:00.0000000Z,2021-01-04,2092168.9900,1747,1842,4429
fill,2021-01-04T21:00:00.0000000Z,IWM,-339,193.5,1,84955.97
fill,2021-01-04T21:00:00.0000000Z,SPY,111,368.79,1,44019.28
fill,2021-01-04T21:00:00.0000000Z,QQQ,74,309.31,1,21129.34
decision,2021-03-31T20:00:00.0000000Z,2021-03-31,2279898.5700,0,0,0
fill,2021-03-31T20:00:00.0000000Z,SPY,-1747,396.33,1,713516.85
fill,2021-03-31T20:00:00.0000000Z,QQQ,-1842,319.13,1,1301353.31
fill,2021-03-31T20:00:00.0000000Z,IWM,-4429,220.94,1,2279895.57
final,2021-03-31T20:00:00.0000000Z,2279895.57,0,0,0,
